0;100
0.001;99.8678
0.002;99.8329
0.003;99.92
0.004;99.8595
0.005;99.9309
0.006;100.076
0.007;100.151
0.008;100.146
0.009;99.8849
0.01;99.9655
0.011;99.9253
0.012;99.8593
0.013;99.8014
0.014;99.6961
0.015;99.7171
0.016;99.8848
0.017;99.835
0.018;99.7829
0.019;99.8999
0.02;100.076
0.021;100.198
0.022;100.187
0.023;100.128
0.024;100.262
0.025;100.242
0.026;100.237
0.027;100.119
0.028;100.137
0.029;100.12
0.03;100.115
0.031;100.107
0.032;100.065
0.033;99.9652
0.034;99.8691
0.035;99.92
0.036;99.9065
0.037;99.864
0.038;99.9244
0.039;99.7638
0.04;99.7575
0.041;99.7832
0.042;99.7895
0.043;99.7386
0.044;99.9342
0.045;99.8805
0.046;99.7426
0.047;99.7231
0.048;99.8524
0.049;99.7745
0.05;99.8072
0.051;99.7703
0.052;99.9278
0.053;99.9566
0.054;99.8198
0.055;99.7211
0.056;99.6805
0.057;99.8372
0.058;99.8535
0.059;99.8592
0.06;99.937
0.061;99.773
0.062;99.5602
0.063;99.692
0.064;99.6554
0.065;99.686
0.066;99.7415
0.067;99.7414
0.068;99.9042
0.069;100.031
0.07;100.096
0.071;100.021
0.072;100.01
0.073;99.9774
0.074;100.097
0.075;100.183
0.076;100.304
0.077;100.406
0.078;100.269
0.079;100.173
0.08;100.179
0.081;100.18
0.082;100.084
0.083;100.078
0.084;99.9616
0.085;99.9853
0.086;100.071
0.087;100.169
0.088;100.086
0.089;100.122
0.09;100.098
0.091;100.076
0.092;100.224
0.093;100.253
0.094;100.204
0.095;100.35
0.096;100.437
0.097;100.407
0.098;100.516
0.099;100.656
0.1;100.562
0.101;100.463
0.102;100.402
0.103;100.467
0.104;100.482
0.105;100.438
0.106;100.468
0.107;100.463
0.108;100.592
0.109;100.804
0.11;100.878
0.111;100.915
0.112;101.001
0.113;101.136
0.114;101.181
0.115;101.321
0.116;101.314
0.117;101.391
0.118;101.253
0.119;101.098
0.12;101.155
0.121;101.386
0.122;101.439
0.123;101.508
0.124;101.375
0.125;101.439
0.126;101.421
0.127;101.435
0.128;101.348
0.129;101.384
0.13;101.173
0.131;101.115
0.132;101.154
0.133;101.003
0.134;100.944
0.135;101.032
0.136;101.182
0.137;101.284
0.138;101.257
0.139;101.169
0.14;101.196
0.141;101.231
0.142;101.226
0.143;101.311
0.144;101.259
0.145;101.21
0.146;101.202
0.147;101.133
0.148;100.993
0.149;100.891
0.15;100.925
0.151;100.989
0.152;100.914
0.153;100.89
0.154;100.783
0.155;100.792
0.156;100.832
0.157;100.863
0.158;100.817
0.159;100.887
0.16;100.951
0.161;100.967
0.162;101.052
0.163;101.032
0.164;101.006
0.165;101.01
0.166;100.889
0.167;100.891
0.168;100.861
0.169;100.92
0.17;100.953
0.171;100.867
0.172;100.967
0.173;100.973
0.174;100.68
0.175;100.738
0.176;100.835
0.177;100.844
0.178;100.757
0.179;100.852
0.18;100.786
0.181;100.709
0.182;100.784
0.183;100.736
0.184;100.694
0.185;100.8
0.186;100.849
0.187;100.856
0.188;100.932
0.189;100.995
0.19;101.001
0.191;100.872
0.192;100.846
0.193;100.905
0.194;100.906
0.195;100.737
0.196;100.608
0.197;100.595
0.198;100.518
0.199;100.454
0.2;100.591
0.201;100.658
0.202;100.735
0.203;100.719
0.204;100.69
0.205;100.601
0.206;100.604
0.207;100.714
0.208;100.665
0.209;100.677
0.21;100.726
0.211;100.634
0.212;100.576
0.213;100.526
0.214;100.451
0.215;100.49
0.216;100.513
0.217;100.456
0.218;100.377
0.219;100.281
0.22;100.302
0.221;100.415
0.222;100.449
0.223;100.493
0.224;100.512
0.225;100.48
0.226;100.435
0.227;100.322
0.228;100.311
0.229;100.202
0.23;100.204
0.231;100.181
0.232;100.078
0.233;100.224
0.234;100.122
